county,candidate,votes,precinct,office,district,party
COMANCHE,Ayyadurai,0,ALL,President of the US,,OTH
COMANCHE,Cuellar,0,ALL,President of the US,,OTH
COMANCHE,DeLaCruz,0,ALL,President of the US,,OTH
COMANCHE,Fox,0,ALL,President of the US,,OTH
COMANCHE,Sonski,0,ALL,President of the US,,OTH
COMANCHE,West,0,ALL,President of the US,,OTH
CONCHO,Trump,1035,ALL,President of the US,,REP
CONCHO,Harris,153,ALL,President of the US,,DEM
CONCHO,Oliver,3,ALL,President of the US,,LIB
CONCHO,Stein,4,ALL,President of the US,,GRN
CONCHO,Ayyadurai,0,ALL,President of the US,,OTH
CONCHO,Cuellar,0,ALL,President of the US,,OTH
CONCHO,DeLaCruz,0,ALL,President of the US,,OTH
CONCHO,Fox,0,ALL,President of the US,,OTH
CONCHO,Sonski,0,ALL,President of the US,,OTH
CONCHO,West,0,ALL,President of the US,,OTH
COOKE,Trump,16949,ALL,President of the US,,REP
COOKE,Harris,3303,ALL,President of the US,,DEM
COOKE,Oliver,107,ALL,President of the US,,LIB
COOKE,Stein,40,ALL,President of the US,,GRN
COOKE,Ayyadurai,0,ALL,President of the US,,OTH
COOKE,Cuellar,0,ALL,President of the US,,OTH
COOKE,DeLaCruz,2,ALL,President of the US,,OTH
COOKE,Fox,0,ALL,President of the US,,OTH
COOKE,Sonski,13,ALL,President of the US,,OTH
COOKE,West,0,ALL,President of the US,,OTH
CORYELL,Trump,16665,ALL,President of the US,,REP
CORYELL,Harris,6931,ALL,President of the US,,DEM
CORYELL,Oliver,159,ALL,President of the US,,LIB
CORYELL,Stein,103,ALL,President of the US,,GRN
CORYELL,Ayyadurai,0,ALL,President of the US,,OTH
CORYELL,Cuellar,0,ALL,President of the US,,OTH
CORYELL,DeLaCruz,1,ALL,President of the US,,OTH
CORYELL,Fox,0,ALL,President of the US,,OTH
CORYELL,Sonski,10,ALL,President of the US,,OTH
CORYELL,West,4,ALL,President of the US,,OTH
COTTLE,Trump,565,ALL,President of the US,,REP
COTTLE,Harris,89,ALL,President of the US,,DEM
COTTLE,Oliver,2,ALL,President of the US,,LIB
COTTLE,Stein,1,ALL,President of the US,,GRN
COTTLE,Ayyadurai,0,ALL,President of the US,,OTH
